case,makespan,gross_tardiness,weighted_tardiness,total_flow_time,ga_flow_time_weight,ga_objective,total_penalty,outsourcing_charge,total_loss,loss_without_outsourcing,loss_reduction,net_profit,outsourced_jobs
GA_without_outsourcing,23665,169470,2916145,224140,0.0,2916145.0,2916145,0,2916145,2916145,0,-2846945,0
GA_with_outsourcing_FCFS,2900,0,0,53710,0.0,0.0,0,82620,82620,2916145,2833525,-13420,12
GA_with_outsourcing_EDD,2900,0,0,53710,0.0,0.0,0,82620,82620,2916145,2833525,-13420,12
GA_with_outsourcing_GREEDY,2930,0,0,39185,0.0,0.0,0,71010,71010,2916145,2845135,-1810,10
GA_with_outsourcing_TABU,3000,0,0,38890,0.0,0.0,0,69830,69830,2916145,2846315,-630,10
