case,makespan,gross_tardiness,weighted_tardiness,total_flow_time,ga_flow_time_weight,ga_objective,total_penalty,outsourcing_charge,total_loss,loss_without_outsourcing,loss_reduction,net_profit,outsourced_jobs
GA_without_outsourcing,27110,227040,3969835,284920,0.0,3969835.0,3969835,0,3969835,3969835,0,-3900635,0
GA_with_outsourcing_GREEDY,20370,15910,143190,63960,0.0,143190.0,143190,76440,219630,3969835,3750205,-150430,11
GA_with_outsourcing_TABU,20370,16460,147590,59455,0.0,147590.0,147590,75920,223510,3969835,3746325,-154310,11
GA_with_outsourcing_SA,20370,15910,143190,63960,0.0,143190.0,143190,76440,219630,3969835,3750205,-150430,11
