job_name,resource_name,operation_number,start_time,finish_time
S3J01,R4,1,0,185
S3J01,R2,2,185,385
S3J01,R3,3,385,600
S3J01,R1,4,600,830
S3J05,R2,1,385,610
S3J05,R4,2,610,850
S3J05,R1,3,850,1105
S3J05,R3,4,1105,1375
S3J08,R2,1,630,855
S3J08,R1,2,1105,1345
S3J08,R4,3,1345,1600
S3J08,R3,4,1600,1870
S3J02,R2,1,855,1080
S3J02,R1,2,1345,1585
S3J02,R4,3,1600,1855
S3J02,R3,4,1870,2140
S1J05,R2,1,1080,1320
S1J05,R1,2,1585,1845
S1J05,R4,3,1855,2135
S1J05,R3,4,2140,2440
S1J11,R2,1,1320,1630
S1J11,R1,2,1845,2175
S1J11,R4,3,2175,2525
S1J11,R3,4,2525,2895
S3J06,R1,1,2175,2440
S3J06,R3,2,2895,3175
S3J06,R2,3,3175,3470
S3J06,R4,4,3470,3780
S3J04,R3,1,3175,3360
S3J04,R1,2,3360,3560
S3J04,R4,3,3780,3995
S3J04,R2,4,3995,4225
S1J01,R3,1,3360,3600
S1J01,R1,2,3600,3860
S1J01,R4,3,3995,4275
S1J01,R2,4,4275,4575
S3J03,R3,1,3600,3865
S3J03,R4,2,4275,4555
S3J03,R2,3,4575,4870
S3J03,R1,4,4870,5180
S1J06,R3,1,3865,4140
S1J06,R4,2,4555,4850
S1J06,R2,3,4870,5185
S1J06,R1,4,5185,5520
S3J07,R4,1,4850,5035
S3J07,R2,2,5185,5385
S3J07,R3,3,5385,5600
S3J07,R1,4,5600,5830
S1J08,R2,1,5385,5730
S1J08,R4,2,5730,6095
S1J08,R1,3,6095,6480
S1J08,R3,4,6480,6885
