job_name,resource_name,operation_number,start_time,finish_time
S1J01,R3,1,0,240
S1J01,R1,2,240,500
S1J01,R4,3,500,780
S1J01,R2,4,780,1080
S2J01,R1,1,500,685
S2J01,R3,2,685,885
S2J01,R2,3,1080,1295
S2J01,R4,4,1295,1525
S2J07,R1,1,685,870
S2J07,R3,2,885,1085
S2J07,R2,3,1295,1510
S2J07,R4,4,1525,1755
S2J05,R3,1,1085,1310
S2J05,R1,2,1310,1550
S2J05,R4,3,1755,2010
S2J05,R2,4,2010,2280
S2J04,R3,1,1310,1495
S2J04,R4,2,2010,2210
S2J04,R2,3,2280,2495
S2J04,R1,4,2495,2725
S1J06,R3,1,1495,1770
S1J06,R4,2,2210,2505
S1J06,R2,3,2505,2820
S1J06,R1,4,2820,3155
S1J12,R3,1,1770,2115
S1J12,R4,2,2505,2870
S1J12,R2,3,2870,3255
S1J12,R1,4,3255,3660
S2J02,R4,1,2870,3095
S2J02,R2,2,3255,3495
S2J02,R3,3,3495,3750
S2J02,R1,4,3750,4020
S2J08,R4,1,3095,3320
S2J08,R2,2,3495,3735
S2J08,R3,3,3750,4005
S2J08,R1,4,4020,4290
S2J06,R2,1,3735,4000
S2J06,R4,2,4000,4280
S2J06,R1,3,4290,4585
S2J06,R3,4,4585,4895
S1J02,R2,1,4000,4275
S1J02,R4,2,4280,4575
S1J02,R1,3,4585,4900
S1J02,R3,4,4900,5235
S1J08,R2,1,4275,4620
S1J08,R4,2,4620,4985
S1J08,R1,3,4985,5370
S1J08,R3,4,5370,5775
S1J16,R4,1,4985,5330
S1J16,R2,2,5330,5695
S1J16,R3,3,5775,6160
S1J16,R1,4,6160,6565
S2J03,R2,1,5695,5960
S2J03,R1,2,6565,6845
S2J03,R4,3,6845,7140
S2J03,R3,4,7140,7450
