job_name,resource_name,operation_number,start_time,finish_time
S3J01,R4,1,0,185
S3J01,R2,2,185,385
S3J01,R3,3,385,600
S3J01,R1,4,600,830
S3J05,R2,1,385,610
S3J05,R4,2,610,850
S3J05,R1,3,850,1105
S3J05,R3,4,1105,1375
S3J02,R2,1,610,835
S3J02,R1,2,1105,1345
S3J02,R4,3,1345,1600
S3J02,R3,4,1600,1870
S3J06,R1,1,1345,1610
S3J06,R3,2,1870,2150
S3J06,R2,3,2150,2445
S3J06,R4,4,2445,2755
S3J04,R3,1,2150,2335
S3J04,R1,2,2335,2535
S3J04,R4,3,2755,2970
S3J04,R2,4,2970,3200
S3J03,R3,1,2335,2600
S3J03,R4,2,2970,3250
S3J03,R2,3,3250,3545
S3J03,R1,4,3545,3855
S3J07,R4,1,3250,3435
S3J07,R2,2,3545,3745
S3J07,R3,3,3745,3960
S3J07,R1,4,3960,4190
S3J08,R2,1,3745,3970
S3J08,R1,2,4190,4430
S3J08,R4,3,4430,4685
S3J08,R3,4,4685,4955
