job_name,winner,winner_due_date,winner_price,all_offers
S1J02,S2,2335,7330,"S2: due=2335, price=7330, feasible=True; S3: due=2335, price=7500, feasible=True"
S1J06,S2,2335,8510,"S2: due=2335, price=8510, feasible=True; S3: due=2335, price=8720, feasible=True"
S1J07,S3,2405,8720,"S2: due=3035, price=8510, feasible=True; S3: due=2405, price=8720, feasible=True"
S1J11,S3,2755,8720,"S2: due=3035, price=8510, feasible=True; S3: due=2755, price=8720, feasible=True"
S1J12,S2,3105,6150,"S2: due=3105, price=6150, feasible=True; S3: due=3175, price=6280, feasible=True"
