job_name,resource_name,operation_number,start_time,finish_time
S3J03,R3,1,180,445
S3J03,R4,2,445,725
S3J03,R2,3,725,1020
S3J03,R1,4,1020,1330
S3J01,R4,1,725,910
S3J01,R2,2,1020,1220
S3J01,R3,3,1220,1435
S3J01,R1,4,1435,1665
S3J07,R4,1,910,1095
S3J07,R2,2,1220,1420
S3J07,R3,3,1435,1650
S3J07,R1,4,1665,1895
S1J10,R4,1,1095,1370
S1J10,R2,2,1420,1715
S1J10,R3,3,1715,2030
S1J10,R1,4,2030,2365
S1J04,R4,1,1370,1715
S1J04,R2,2,1715,2080
S1J04,R3,3,2080,2465
S1J04,R1,4,2465,2870
S3J04,R3,1,2465,2650
S3J04,R1,2,2870,3070
S3J04,R4,3,3070,3285
S3J04,R2,4,3285,3515
S3J06,R1,1,3070,3335
S3J06,R3,2,3335,3615
S3J06,R2,3,3615,3910
S3J06,R4,4,3910,4220
S3J02,R2,1,3910,4135
S3J02,R1,2,4135,4375
S3J02,R4,3,4375,4630
S3J02,R3,4,4630,4900
S3J08,R2,1,4135,4360
S3J08,R1,2,4375,4615
S3J08,R4,3,4630,4885
S3J08,R3,4,4900,5170
S1J11,R2,1,4360,4670
S1J11,R1,2,4670,5000
S1J11,R4,3,5000,5350
S1J11,R3,4,5350,5720
S3J05,R2,1,4670,4895
S3J05,R4,2,5350,5590
S3J05,R1,3,5590,5845
S3J05,R3,4,5845,6115
