selected_job,winner,job_name,negotiation_round,requested_due_date,requested_price,supplier,offer_due_date,offer_price,feasible_due_date,feasible_price,feasible,loss_reduction
S1J11,S3,S1J01,0,2900,8500,S2,1690,5980,True,True,True,182500
S1J11,S3,S1J01,0,2900,8500,S3,1080,5660,True,True,True,182820
S1J11,S3,S1J02,0,3280,9200,S2,2985,6570,True,True,True,179190
S1J11,S3,S1J02,0,3280,9200,S3,3240,6770,True,True,True,178990
S1J11,S3,S1J04,0,3680,10600,S2,2605,7750,True,True,True,233590
S1J11,S3,S1J04,0,3680,10600,S3,3020,7990,True,True,True,233350
S1J11,S3,S1J05,0,4060,11300,S2,1680,5980,True,True,True,225680
S1J11,S3,S1J05,0,4060,11300,S3,3275,5660,True,True,True,226000
S1J11,S3,S1J07,0,4460,8500,S2,4265,7160,True,True,True,136030
S1J11,S3,S1J07,0,4460,8500,S3,5180,13360,False,False,False,123350
S1J11,S3,S1J08,0,4840,9200,S2,4300,7750,True,True,True,188100
S1J11,S3,S1J08,0,4840,9200,S3,4465,7990,True,True,True,187860
S1J11,S3,S1J10,0,5240,10600,S2,2325,6570,True,True,True,503690
S1J11,S3,S1J10,0,5240,10600,S3,2790,6770,True,True,True,503490
S1J11,S3,S1J11,0,5620,11300,S2,5710,10040,False,True,False,545320
S1J11,S3,S1J11,0,5620,11300,S3,5500,6880,True,True,True,551360
S1J11,S3,S1J12,0,6000,12000,S2,4765,7750,True,True,True,492530
S1J11,S3,S1J12,0,6000,12000,S3,2680,7990,True,True,True,492290
S1J11,S3,S1J14,0,6400,9200,S2,5880,6570,True,True,True,455980
S1J11,S3,S1J14,0,6400,9200,S3,5820,6770,True,True,True,455780
S1J10,S2,S1J01,0,2900,8500,S2,1690,5980,True,True,True,175180
S1J10,S2,S1J01,0,2900,8500,S3,4040,14780,False,False,False,157260
S1J10,S2,S1J02,0,3280,9200,S2,2985,6570,True,True,True,176265
S1J10,S2,S1J02,0,3280,9200,S3,2440,6770,True,True,True,176065
S1J10,S2,S1J06,0,4440,12000,S2,5085,11730,False,True,False,157150
S1J10,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,167270
S1J10,S2,S1J07,0,4460,8500,S2,4265,7160,True,True,True,136030
S1J10,S2,S1J07,0,4460,8500,S3,3695,6880,True,True,True,136310
S1J10,S2,S1J08,0,4840,9200,S2,4300,7750,True,True,True,184150
S1J10,S2,S1J08,0,4840,9200,S3,6010,19690,False,False,False,160510
S1J10,S2,S1J10,0,5240,10600,S2,2325,6570,True,True,True,503690
S1J10,S2,S1J10,0,5240,10600,S3,4895,6770,True,True,True,503490
S1J10,S2,S1J12,0,6000,12000,S2,4765,7750,True,True,True,492530
S1J10,S2,S1J12,0,6000,12000,S3,5770,7990,True,True,True,492290
S1J10,S2,S1J14,0,6400,9200,S2,5880,6570,True,True,True,482370
S1J10,S2,S1J14,0,6400,9200,S3,6085,6770,True,True,True,482170
S1J10,S2,S1J16,0,6800,10600,S2,5890,7750,True,True,True,469805
S1J10,S2,S1J16,0,6800,10600,S3,5700,7990,True,True,True,469565
S1J14,S2,S1J01,0,2900,8500,S2,1690,5980,True,True,True,179740
S1J14,S2,S1J01,0,2900,8500,S3,4040,14780,False,False,False,161820
S1J14,S2,S1J03,0,3660,9900,S2,4110,11660,False,False,False,202590
S1J14,S2,S1J03,0,3660,9900,S3,3685,7130,False,True,False,211370
S1J14,S2,S1J04,0,3680,10600,S2,3530,7750,True,True,True,200700
S1J14,S2,S1J04,0,3680,10600,S3,3730,8540,False,True,False,199360
S1J14,S2,S1J05,0,4060,11300,S2,4180,7420,False,True,False,236240
S1J14,S2,S1J05,0,4060,11300,S3,1395,5660,True,True,True,239440
S1J14,S2,S1J06,0,4440,12000,S2,1975,6570,True,True,True,129870
S1J14,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,129670
S1J14,S2,S1J07,0,4460,8500,S2,5665,18005,False,False,False,114340
S1J14,S2,S1J07,0,4460,8500,S3,3695,6880,True,True,True,136310
S1J14,S2,S1J08,0,4840,9200,S2,3815,7750,True,True,True,184350
S1J14,S2,S1J08,0,4840,9200,S3,6010,19690,False,False,False,160710
S1J14,S2,S1J14,0,6400,9200,S2,4500,6570,True,True,True,482950
S1J14,S2,S1J14,0,6400,9200,S3,6085,6770,True,True,True,482750
S1J14,S2,S1J16,0,6800,10600,S2,5955,7750,True,True,True,470425
S1J14,S2,S1J16,0,6800,10600,S3,5700,7990,True,True,True,470185
S1J14,S2,S1J03,1,4027,10890,S2,4110,7990,False,True,False,206260
S1J14,S2,S1J03,1,4027,10890,S3,3965,6880,True,True,True,208820
S1J12,S2,S1J02,0,3280,9200,S2,3320,6930,False,True,False,173655
S1J12,S2,S1J02,0,3280,9200,S3,2440,6770,True,True,True,174175
S1J12,S2,S1J04,0,3680,10600,S2,5665,29585,False,False,False,152960
S1J12,S2,S1J04,0,3680,10600,S3,3730,8540,False,True,False,195290
S1J12,S2,S1J05,0,4060,11300,S2,1630,5980,True,True,True,230900
S1J12,S2,S1J05,0,4060,11300,S3,1395,5660,True,True,True,231220
S1J12,S2,S1J06,0,4440,12000,S2,5285,13330,False,False,False,113390
S1J12,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,126710
S1J12,S2,S1J07,0,4460,8500,S2,4475,7295,False,True,False,181030
S1J12,S2,S1J07,0,4460,8500,S3,3695,6880,True,True,True,181580
S1J12,S2,S1J12,0,6000,12000,S2,5735,7750,True,True,True,480320
S1J12,S2,S1J12,0,6000,12000,S3,5770,7990,True,True,True,480080
S1J12,S2,S1J16,0,6800,10600,S2,6870,9920,False,True,False,454615
S1J12,S2,S1J16,0,6800,10600,S3,5700,7990,True,True,True,458715
S1J12,S2,S1J04,1,4049,11661,S2,5665,25526,False,False,False,157019
S1J12,S2,S1J04,1,4049,11661,S3,3915,7990,True,True,True,193805
S1J16,S2,S1J01,0,2900,8500,S2,1080,5980,True,True,True,136180
S1J16,S2,S1J01,0,2900,8500,S3,4040,14780,False,False,False,118260
S1J16,S2,S1J02,0,3280,9200,S2,4055,13545,False,False,False,158715
S1J16,S2,S1J02,0,3280,9200,S3,2440,6770,True,True,True,172465
S1J16,S2,S1J04,0,3680,10600,S2,3990,11160,False,False,False,192945
S1J16,S2,S1J04,0,3680,10600,S3,3730,8540,False,True,False,198425
S1J16,S2,S1J05,0,4060,11300,S2,1680,5980,True,True,True,234320
S1J16,S2,S1J05,0,4060,11300,S3,1395,5660,True,True,True,234640
S1J16,S2,S1J07,0,4460,8500,S2,6755,27815,False,False,False,94720
S1J16,S2,S1J07,0,4460,8500,S3,3695,6880,True,True,True,136310
S1J16,S2,S1J08,0,4840,9200,S2,5135,10700,False,False,False,174450
S1J16,S2,S1J08,0,4840,9200,S3,6010,19690,False,False,False,156710
S1J16,S2,S1J16,0,6800,10600,S2,5380,7750,True,True,True,467790
S1J16,S2,S1J16,0,6800,10600,S3,5700,7990,True,True,True,467550
S1J16,S2,S1J04,1,4049,11661,S2,3990,7750,True,True,True,196355
S1J16,S2,S1J04,1,4049,11661,S3,3915,7990,True,True,True,196940
S1J16,S2,S1J08,1,5324,10120,S2,5135,7750,True,True,True,177400
S1J16,S2,S1J08,1,5324,10120,S3,6010,14850,False,False,False,161550
S1J05,S3,S1J01,0,2900,8500,S2,1080,5980,True,True,True,136180
S1J05,S3,S1J01,0,2900,8500,S3,4040,14780,False,False,False,118260
S1J05,S3,S1J02,0,3280,9200,S2,2090,6570,True,True,True,165465
S1J05,S3,S1J02,0,3280,9200,S3,2440,6770,True,True,True,165265
S1J05,S3,S1J05,0,4060,11300,S2,1630,5980,True,True,True,206300
S1J05,S3,S1J05,0,4060,11300,S3,1395,5660,True,True,True,206620
S1J05,S3,S1J06,0,4440,12000,S2,3605,6570,True,True,True,153950
S1J05,S3,S1J06,0,4440,12000,S3,2470,6770,True,True,True,153750
S1J05,S3,S1J08,0,4840,9200,S2,5070,10050,False,False,False,168250
S1J05,S3,S1J08,0,4840,9200,S3,6010,19690,False,False,False,149210
S1J05,S3,S1J08,1,5324,10120,S2,5610,10610,False,False,False,162290
S1J05,S3,S1J08,1,5324,10120,S3,6010,14850,False,False,False,154050
S1J05,S3,S1J08,2,5857,11132,S2,6120,10380,False,True,False,157420
