job_name,resource_name,operation_number,start_time,finish_time
S3J01,R1,1,0,185
S3J01,R2,2,185,385
S3J01,R3,3,385,600
S3J01,R4,4,600,830
S3J02,R1,1,185,410
S3J02,R2,2,410,650
S3J02,R3,3,650,905
S3J02,R4,4,905,1175
S3J04,R1,1,410,595
S3J04,R2,2,650,850
S3J04,R3,3,905,1120
S3J04,R4,4,1175,1405
S3J07,R1,1,595,780
S3J07,R2,2,850,1050
S3J07,R3,3,1120,1335
S3J07,R4,4,1405,1635
S3J08,R1,1,780,1005
S3J08,R2,2,1050,1290
S3J08,R3,3,1335,1590
S3J08,R4,4,1635,1905
S3J05,R1,1,1005,1230
S3J05,R2,2,1290,1530
S3J05,R3,3,1590,1845
S3J05,R4,4,1905,2175
S1J01,R1,1,1230,1470
S1J01,R2,2,1530,1790
S1J01,R3,3,1845,2125
S1J01,R4,4,2175,2475
S3J03,R1,1,1470,1735
S3J03,R2,2,1790,2070
S3J03,R3,3,2125,2420
S3J03,R4,4,2475,2785
S3J06,R1,1,1735,2000
S3J06,R2,2,2070,2350
S3J06,R3,3,2420,2715
S3J06,R4,4,2785,3095
S1J03,R1,1,2000,2310
S1J03,R2,2,2350,2680
S1J03,R3,3,2715,3065
S1J03,R4,4,3095,3465
S1J07,R1,1,2310,2620
S1J07,R2,2,2680,3010
S1J07,R3,3,3065,3415
S1J07,R4,4,3465,3835
