job_name,resource_name,operation_number,start_time,finish_time
S2J01,R1,1,0,185
S2J01,R2,2,185,385
S2J01,R3,3,385,600
S2J01,R4,4,600,830
S2J02,R1,1,185,410
S2J02,R2,2,410,650
S2J02,R3,3,650,905
S2J02,R4,4,905,1175
S2J04,R1,1,410,595
S2J04,R2,2,650,850
S2J04,R3,3,905,1120
S2J04,R4,4,1175,1405
S2J07,R1,1,595,780
S2J07,R2,2,850,1050
S2J07,R3,3,1120,1335
S2J07,R4,4,1405,1635
S2J08,R1,1,780,1005
S2J08,R2,2,1050,1290
S2J08,R3,3,1335,1590
S2J08,R4,4,1635,1905
S2J05,R1,1,1005,1230
S2J05,R2,2,1290,1530
S2J05,R3,3,1590,1845
S2J05,R4,4,1905,2175
S2J06,R1,1,1230,1495
S2J06,R2,2,1530,1810
S2J06,R3,3,1845,2140
S2J06,R4,4,2175,2485
S2J03,R1,1,1495,1760
S2J03,R2,2,1810,2090
S2J03,R3,3,2140,2435
S2J03,R4,4,2485,2795
S1J14,R1,1,1760,2035
S1J14,R2,2,2090,2385
S1J14,R3,3,2435,2750
S1J14,R4,4,2795,3130
S1J04,R1,1,2035,2380
S1J04,R2,2,2385,2750
S1J04,R3,3,2750,3135
S1J04,R4,4,3135,3540
S1J06,R1,1,2380,2655
S1J06,R2,2,2750,3045
S1J06,R3,3,3135,3450
S1J06,R4,4,3540,3875
S1J08,R1,1,2655,3000
S1J08,R2,2,3045,3410
S1J08,R3,3,3450,3835
S1J08,R4,4,3875,4280
S1J16,R1,1,3000,3345
S1J16,R2,2,3410,3775
S1J16,R3,3,3835,4220
S1J16,R4,4,4280,4685
